File_Name,Operator,Service_Code,Line_Name,Departure_Time,Distance,Run_Time,Number_of_Stops
2013-None--SCSO-Portsmouth-2026-06-29-PM251026_v19_Reports2__SCSO_PH0005857_310_20260713-BODS_V1_1.xml,Stagecoach South,PH0005857:310,13,08:55:00,249,PT0M0S,1028
2013-None--SCSO-Portsmouth-2026-07-18-PM251026_v19_Reports2__SCSO_PH0005857_310_20260718-BODS_V1_1.xml,Stagecoach South,PH0005857:310,13,08:55:00,249,PT0M0S,1028
2013-None--SCSO-Portsmouth-2026-08-02-PM260802__SCSO_PH0005857_310_20260802-BODS_V1_1.xml,Stagecoach South,PH0005857:310,13,08:55:00,249,PT0M0S,1038
2018-None--SCSO-Portsmouth-2025-10-26-PM251026_v19_Reports2__SCSO_PH0005857_311_20260718-BODS_V1_1.xml,Stagecoach South,PH0005857:311,18,04:40:00,177,PT0M0S,1879
2018-None--SCSO-Portsmouth-2026-06-29-PM251026_v19_Reports2__SCSO_PH0005857_311_20260701-BODS_V1_1.xml,Stagecoach South,PH0005857:311,18,04:40:00,177,PT0M0S,1902
2019-None--SCSO-Portsmouth-2026-06-29-PM251026_v19_Reports2__SCSO_PH0005857_325_20260713-BODS_V1_1.xml,Stagecoach South,PH0005857:325,19,05:00:00,765,PT0M0S,2280
2019-None--SCSO-Portsmouth-2026-07-18-PM251026_v19_Reports2__SCSO_PH0005857_325_20260718-BODS_V1_1.xml,Stagecoach South,PH0005857:325,19,05:00:00,765,PT0M0S,2280
2019-None--SCSO-Portsmouth-2026-08-02-PM260802__SCSO_PH0005857_325_20260802-BODS_V1_1.xml,Stagecoach South,PH0005857:325,19,05:00:00,765,PT0M0S,2362
2020-None--SCSO-Portsmouth-2026-06-29-PM251026_v19_Reports2__SCSO_PH0005857_124_20260713-BODS_V1_1.xml,Stagecoach South,PH0005857:124,20,06:05:00,848,PT0M0S,1950
2020-None--SCSO-Portsmouth-2026-07-18-PM251026_v19_Reports2__SCSO_PH0005857_124_20260718-BODS_V1_1.xml,Stagecoach South,PH0005857:124,20,06:05:00,848,PT0M0S,1950
2020-None--SCSO-Portsmouth-2026-08-02-PM260802__SCSO_PH0005857_124_20260802-BODS_V1_1.xml,Stagecoach South,PH0005857:124,20,06:05:00,848,PT0M0S,2994
2021-None--SCSO-Portsmouth-2026-06-29-PM251026_v19_Reports2__SCSO_PH0005857_125_20260713-BODS_V1_1.xml,Stagecoach South,PH0005857:125,21,07:17:00,491,PT0M0S,1603
2021-None--SCSO-Portsmouth-2026-07-18-PM251026_v19_Reports2__SCSO_PH0005857_125_20260718-BODS_V1_1.xml,Stagecoach South,PH0005857:125,21,07:17:00,491,PT0M0S,1777
2021-None--SCSO-Portsmouth-2026-08-02-PM260802__SCSO_PH0005857_125_20260802-BODS_V1_1.xml,Stagecoach South,PH0005857:125,21,07:48:00,491,PT0M0S,1395
2022-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_327_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:327,22,05:30:00,772,PT0M0S,482
2023-None--SCSO-Portsmouth-2025-10-26-PM251026_v19_Reports2__SCSO_PH0005857_126_20260718-BODS_V1_1.xml,Stagecoach South,PH0005857:126,23,05:00:00,622,PT0M0S,4442
2023-None--SCSO-Portsmouth-2026-06-29-PM251026_v19_Reports2__SCSO_PH0005857_126_20260701-BODS_V1_1.xml,Stagecoach South,PH0005857:126,23,05:00:00,622,PT0M0S,4405
2025-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_312_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:312,25,08:20:00,215,PT0M0S,628
2027-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_313_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:313,27,09:05:00,491,PT0M0S,466
2030-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_128_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:128,30,06:05:00,244,PT0M0S,2440
2037-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_129_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:129,37,06:12:00,787,PT0M0S,2574
2038-2938-None--SCSO-Portsmouth-2026-06-29-PM251026_v19_Reports2__SCSO_PH0005857_130_20260709-BODS_V1_1.xml,Stagecoach South,PH0005857:130,38,16:45:00,410,PT0M0S,2295
2038-2938-None--SCSO-Portsmouth-2026-07-23-PM251026_v19_Reports2__SCSO_PH0005857_130_20260723-BODS_V1_1.xml,Stagecoach South,PH0005857:130,38,07:05:00,410,PT0M0S,1703
2039-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_131_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:131,39,07:30:00,890,PT0M0S,4882
2051-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_314_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:314,D1,07:35:00,735,PT0M0S,552
2632-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_331_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:331,632,07:05:00,682,PT0M0S,635
2652-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_323_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:323,652,07:35:00,231,PT0M0S,230
2654-None--SCSO-PM-2025-10-26-PM251026_v19_Reports__SCSO_PH0005857_324_20260222-BODS_V1_1.xml,Stagecoach South,PH0005857:324,654,08:21:00,231,PT0M0S,266
2700-None--SCSO-Chichester-2025-10-26-PM251026_v19_Reports2__SCSO_PH0005857_135_20260709-BODS_V1_1.xml,Stagecoach South,PH0005857:135,700,06:25:00,373,PT0M0S,4012
2725-None--SCSO-Portsmouth-2025-10-26-PM251026_v19_Reports2__SCSO_PK0002571_68_20260718-BODS_V1_1.xml,Stagecoach South,PK0002571:68,725,05:35:00,214,PT0M0S,346
